Nome;Data;potencia_total;P - Fase A (W);P - Fase B (W);P - Fase C (W);Q - Total (var);Q - Fase A (var);Q - Fase B (var);Q - Fase C (var);FP - Total;FP - Fase A;FP - Fase B;FP - Fase C;V - Fase A (V);V - Fase B (V);V - Fase C (V);I - Fase A (A);I - Fase B (A);I - Fase C (A)
PowLatec;11/02/2022, 6:00:00;1589,9430349344977;0;0;1589,9430349344977;0;0;0;0;1;1;1;1;0;0;216,98746724890827;0;0;7,69
PowLatec;11/02/2022, 7:00:00;1612,5691536748332;0;0;1612,5691536748332;0;0;0;0;1;1;1;1;0;0;218,2266369710468;0;0;7,694521158129176
PowLatec;11/02/2022, 8:00:00;1705,3432213438737;0;0;1705,3432213438737;0;0;0;0;1;1;1;1;0;0;218,58930830039526;0;0;8,107193675889327
PowLatec;11/02/2022, 9:00:00;1796,2878782287823;0;0;1796,2878782287823;0;0;0;0;1;1;1;1;0;0;217,93647601476016;0;0;8,514649446494465
PowLatec;11/02/2022, 10:00:00;1861,1702972027974;0;0;1861,1702972027974;0;0;0;0;1;1;1;1;0;0;217,91167832167832;0;0;8,900087412587414
PowLatec;11/02/2022, 11:00:00;1973,9843371522095;0;0;1973,9843371522095;0;0;0;0;1;1;1;1;0;0;217,2088543371522;0;0;9,45317512274959
PowLatec;11/02/2022, 12:00:00;2102,8668145800316;0;0;2102,8668145800316;0;0;0;0;1;1;1;1;0;0;217,55025356576866;0;0;9,995499207606972
PowLatec;11/02/2022, 13:00:00;2214,987110481586;0;0;2214,987110481586;0;0;0;0;1;1;1;1;0;0;218,19186968838525;0;0;10,550254957507082
PowLatec;11/02/2022, 14:00:00;2132,4740422322775;0;0;2132,4740422322775;0;0;0;0;1;1;1;1;0;0;217,8506334841629;0;0;10,200482654600302
PowLatec;11/02/2022, 15:00:00;2132,096787790698;0;0;2132,096787790698;0;0;0;0;1;1;1;1;0;0;219,67742732558142;0;0;10,105188953488373
PowLatec;11/02/2022, 16:00:00;2078,1197384615384;0;0;2078,1197384615384;0;0;0;0;1;1;1;1;0;0;219,64636923076924;0;0;9,860138461538462
PowLatec;11/02/2022, 17:00:00;2006,7400322580647;0;0;2006,7400322580647;0;0;0;0;1;1;1;1;0;0;221,23758064516127;0;0;9,473338709677419
PowLatec;11/02/2022, 18:00:00;1939,0355411954765;0;0;1939,0355411954765;0;0;0;0;1;1;1;1;0;0;219,5023909531502;0;0;9,204442649434572
PowLatec;11/02/2022, 19:00:00;1848,452378559464;0;0;1848,452378559464;0;0;0;0;1;1;1;1;0;0;220,4451256281407;0;0;8,728107202680068
PowLatec;11/02/2022, 20:00:00;1818,421658456486;0;0;1818,421658456486;0;0;0;0;1;1;1;1;0;0;220,66310344827588;0;0;8,62886699507389
PowLatec;11/02/2022, 21:00:00;1749,6445774647887;0;0;1749,6445774647887;0;0;0;0;1;1;1;1;0;0;220,3169190140845;0;0;8,307359154929577
PowLatec;11/02/2022, 22:00:00;1780,3627257525086;0;0;1780,3627257525086;0;0;0;0;1;1;1;1;0;0;220,40207357859532;0;0;8,388026755852843
