timestamp,temperature,usage
1645150807,44.0,0.5
1645151107,44.0,2
1645151407,44.0,0.8
1645151707,45.0,0.3
1645152008,44.0,2.1
1645152307,44.0,5
1645152607,45.0,0.5
1645152907,45.0,0.3
1645153208,44.0,28.3
1645153507,45.0,0.5
1645153807,45.0,34.3
1645154107,45.0,52.7
1645154408,46.0,61.8
1645154707,45.0,50.2
1645155007,46.0,29.5
1645155307,47.0,50.7
1645155608,46.0,50.2
1645155907,46.0,39.8
1645156207,46.0,50.9
1645156507,45.0,42.5
1645156807,45.0,50.2
1645157108,47.0,31.8
1645157407,46.0,50.2
1645157707,45.0,50.2
1645158007,47.0,54
1645158308,46.0,43
1645158607,46.0,50.4
1645158907,47.0,43.2
1645159207,46.0,50.4
1645159507,45.0,31.6
1645159808,51.0,70.1
1645160107,45.0,44
1645160407,45.0,44.4
1645160708,45.0,75.6
1645161007,45.0,50.2
1645161307,46.0,50.4
1645161607,46.0,75.6
1645161908,46.0,37.7
1645162207,46.0,50.1
1645162507,46.0,59.1
1645162807,45.0,31.9
1645163107,46.0,35.5
1645163408,46.0,38.6
1645163707,46.0,51.6
1645164007,47.0,50.5
1645164308,45.0,50.4
1645164607,46.0,49.8
1645164907,46.0,33.2
1645165207,45.0,29.4
1645165508,46.0,37.7
1645165807,45.0,50.3
1645166107,45.0,51.4
1645166408,46.0,50.3
1645166707,47.0,47.3
1645167007,45.0,51.2
1645167307,46.0,28.9
1645167608,45.0,74.5
1645167907,45.0,50.2
1645168207,45.0,50.7
1645168508,45.0,50.2
1645168807,46.0,52.1
1645169107,45.0,50.2
1645169407,46.0,53.5
1645169708,46.0,46.9
1645170007,46.0,47.5
1645170307,46.0,50.9
1645170607,46.0,50.2
1645170908,45.0,28.6
1645171207,45.0,50.2
1645171507,46.0,31.5
1645171808,48.0,42
1645172107,45.0,0.2
1645172407,45.0,0.5
1645172707,45.0,1.2
1645173008,44.0,0.5
1645173307,45.0,0.7
1645173607,44.0,0.7
1645173907,45.0,0.5
1645174208,44.0,1
1645174507,44.0,0.5
1645174807,45.0,0.7
1645175107,45.0,0.7
1645175408,44.0,0.7
1645175707,45.0,0.3
1645176007,44.0,2.2
1645176307,45.0,1.2
1645176607,45.0,1.2
1645176908,44.0,0.8
1645177207,49.0,0.3
1645177507,45.0,0.5
1645177808,45.0,1
1645178107,44.0,0.7
1645178407,45.0,0.5
1645178707,44.0,0.7
1645179007,45.0,1.2
1645179308,45.0,0.5
1645179607,44.0,2.8
1645179907,44.0,0.7
1645180207,45.0,3.5
1645180508,45.0,0.5
1645180807,45.0,0.8
1645181107,45.0,0.3
1645181407,44.0,0.5
1645181708,44.0,0.3
1645182007,46.0,0.3
1645182307,44.0,3
1645182607,44.0,0.7
1645182908,44.0,1.7
1645183207,44.0,0.7
1645183507,44.0,0.7
1645183807,45.0,0.5
1645184107,44.0,0.7
1645184408,45.0,0.3
1645184707,49.0,0.3
1645185007,45.0,16
1645185307,45.0,1
1645185608,45.0,0.5
